Apr 15 03:41:25 kibot-kotlin-1 kidax-engine[1117785]: 03:41:25.524 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 12ms
Apr 15 03:41:26 kibot-kotlin-1 kidax-engine[1117785]: 03:41:26.151 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: fetching local bot state snapshot
Apr 15 03:41:27 kibot-kotlin-1 kidax-engine[1117785]: 03:41:27.026 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: fetching lease snapshot
Apr 15 03:41:27 kibot-kotlin-1 kidax-engine[1117785]: 03:41:27.517 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 7ms
Apr 15 03:41:29 kibot-kotlin-1 kidax-engine[1117785]: 03:41:29.519 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: refreshing devices / risk / equity / commands / weekly review
Apr 15 03:41:29 kibot-kotlin-1 kidax-engine[1117785]: 03:41:29.531 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 7ms
Apr 15 03:41:31 kibot-kotlin-1 kidax-engine[1117785]: 03:41:31.515 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 7ms
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.016 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: probing market reachability and orderbook cache
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.063 WARN  com.kibot.macengine.runtime.MacEngineDaemon - [EXCHANGE_PROBE] FAILED - Exchange unreachable (failure count: 8)
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.063 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: applying pending commands / sync processing
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.063 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: building local health / syncing flags
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.063 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: takeover / release gate evaluation
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.063 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: re-reading canonical bot/lease snapshots
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.185 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: preparing exchange fetches
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.185 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: awaiting balances / open orders / market quotes
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.185 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: enriching runtime market quotes
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.185 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: market health resolved feedHealthy=true exchangeReachable=false warnings=2
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.185 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: reached holdings evaluation handoff
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.185 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] referenceQuoteAsset=idr rate_to_idr=1
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.185 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] total_equity=65201 IDR from 4 balances, 0 quotes
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.185 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [CAPITAL_REBALANCE] stable_available=25058 aggressive_available=10739 stable_deployed=0 aggressive_deployed=0
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.187 INFO  com.kibot.macengine.runtime.MacEngineDaemon - SIDE_EFFECTS_GATE: isMaster=true forceMomentumSideEffects=false strategyCyclePresent=false runtimeLeasePresent=true
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.187 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] referenceQuoteAsset=idr rate_to_idr=1
Apr 15 03:41:32 kibot-kotlin-1 kidax-engine[1117785]: 03:41:32.187 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] total_equity=65201 IDR from 4 balances, 0 quotes
Apr 15 03:41:33 kibot-kotlin-1 kidax-engine[1117785]: 03:41:33.518 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 7ms
Apr 15 03:41:33 kibot-kotlin-1 kidax-engine[1117785]: 03:41:33.620 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 9ms
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.341 ERROR com.kibot.macengine.runtime.MacEngineDaemon - LIFECYCLE_BLOCK: Cannot start sync cycle because state is DEGRADED
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.342 INFO  io.ktor.server.Application - 101 Switching Protocols: GET - /ws in 60650ms
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.345 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: entering dead zone after control-plane setup
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.345 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: checking local balance / peer state cache
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.499 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: fetching local bot state snapshot
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.544 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: fetching lease snapshot
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.632 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: refreshing devices / risk / equity / commands / weekly review
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.633 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 7ms
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.723 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: probing market reachability and orderbook cache
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.768 WARN  com.kibot.macengine.runtime.MacEngineDaemon - [EXCHANGE_PROBE] FAILED - Exchange unreachable (failure count: 9)
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.768 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: applying pending commands / sync processing
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.768 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: building local health / syncing flags
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.768 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: takeover / release gate evaluation
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.768 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: re-reading canonical bot/lease snapshots
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.934 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: preparing exchange fetches
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.934 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: awaiting balances / open orders / market quotes
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.934 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: enriching runtime market quotes
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.934 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: market health resolved feedHealthy=true exchangeReachable=false warnings=2
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.934 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: reached holdings evaluation handoff
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.934 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] referenceQuoteAsset=idr rate_to_idr=1
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.934 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] total_equity=65201 IDR from 4 balances, 0 quotes
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.935 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [CAPITAL_REBALANCE] stable_available=25058 aggressive_available=10739 stable_deployed=0 aggressive_deployed=0
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.935 INFO  com.kibot.macengine.runtime.MacEngineDaemon - SIDE_EFFECTS_GATE: isMaster=true forceMomentumSideEffects=false strategyCyclePresent=false runtimeLeasePresent=true
